submissiondate,starttime,endtime,deviceid,subscriberid,simid,devicephonenum,username,duration,caseid,time,association,vehicle,origin,destination,specify_destination,passengers,registration,instanceid,formdef_version,key,time_interval,date,day of the week,day,month,year,city,specify_origin
"Dec 11, 2020 4:07:54 PM","Dec 11, 2020 7:08:30 AM","Dec 11, 2020 7:37:15 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),57,,"Dec 11, 2020 7:00:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,1.0,B652AWE,uuid:4a19a7e9-26db-4036-8aed-26286e70f8c2,2012091737,uuid:4a19a7e9-26db-4036-8aed-26286e70f8c2,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:54 PM","Dec 11, 2020 7:09:35 AM","Dec 11, 2020 7:36:58 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),54,,"Dec 11, 2020 7:07:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,1.0,B176BAB,uuid:1b8da431-84c9-4cda-8746-f4ea7cdd44da,2012091737,uuid:1b8da431-84c9-4cda-8746-f4ea7cdd44da,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:55 PM","Dec 11, 2020 7:25:19 AM","Dec 11, 2020 7:36:38 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user,193,,"Dec 11, 2020 7:16:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,2.0,B175BJM,uuid:376e95ed-bfe4-45f2-b0d7-4514285e5ea3,2012091737,uuid:376e95ed-bfe4-45f2-b0d7-4514285e5ea3,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:55 PM","Dec 11, 2020 7:29:02 AM","Dec 11, 2020 7:36:20 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user,145,,"Dec 11, 2020 7:27:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B882BKM,uuid:2b276246-db38-4e6e-9b65-ea88bade8961,2012091737,uuid:2b276246-db38-4e6e-9b65-ea88bade8961,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:56 PM","Dec 11, 2020 7:34:06 AM","Dec 11, 2020 7:36:08 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user,88,,"Dec 11, 2020 7:32:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B729BLP,uuid:a8fabe20-60cb-45ba-b79a-f39cd6e08888,2012091737,uuid:a8fabe20-60cb-45ba-b79a-f39cd6e08888,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:56 PM","Dec 11, 2020 7:54:34 AM","Dec 11, 2020 7:56:08 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),81,,"Dec 11, 2020 7:45:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,1.0,B251APM,uuid:a7e5e96b-d08e-4c11-850b-84b7264b1fd5,2012091737,uuid:a7e5e96b-d08e-4c11-850b-84b7264b1fd5,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:57 PM","Dec 11, 2020 7:56:55 AM","Dec 11, 2020 7:58:52 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),109,,"Dec 11, 2020 7:56:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B659AEY,uuid:d7ca4b58-326c-4867-9ea6-18753207b126,2012091737,uuid:d7ca4b58-326c-4867-9ea6-18753207b126,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:57 PM","Dec 11, 2020 7:58:56 AM","Dec 11, 2020 7:59:42 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),47,,"Dec 11, 2020 7:57:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B306BNO,uuid:12b64663-1019-4185-b2be-54056012bb7d,2012091737,uuid:12b64663-1019-4185-b2be-54056012bb7d,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:58 PM","Dec 11, 2020 8:09:30 AM","Dec 11, 2020 8:10:20 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),51,,"Dec 11, 2020 8:08:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B789AFV,uuid:a2c72497-b282-4142-aae6-e33fe1fac2fa,2012091737,uuid:a2c72497-b282-4142-aae6-e33fe1fac2fa,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:58 PM","Dec 11, 2020 8:14:41 AM","Dec 11, 2020 8:15:25 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),45,,"Dec 11, 2020 8:11:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B728BGT,uuid:c7c3ca1f-63cb-4fc1-b4a4-70dd61d2ad5c,2012091737,uuid:c7c3ca1f-63cb-4fc1-b4a4-70dd61d2ad5c,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:58 PM","Dec 11, 2020 8:19:44 AM","Dec 11, 2020 8:20:32 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),48,,"Dec 11, 2020 8:18:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B418BEH,uuid:384999be-33c1-400e-bd82-373203c46c6c,2012091737,uuid:384999be-33c1-400e-bd82-373203c46c6c,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:59 PM","Dec 11, 2020 8:24:36 AM","Dec 11, 2020 8:25:14 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),38,,"Dec 11, 2020 8:24:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,2.0,B296BHD,uuid:50ea9a61-c64a-4d11-9994-436f5662c8ff,2012091737,uuid:50ea9a61-c64a-4d11-9994-436f5662c8ff,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:07:59 PM","Dec 11, 2020 8:42:56 AM","Dec 11, 2020 8:43:43 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),47,,"Dec 11, 2020 8:38:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B609AUO,uuid:c842e791-351e-4613-b517-979fec29d3e8,2012091737,uuid:c842e791-351e-4613-b517-979fec29d3e8,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:00 PM","Dec 11, 2020 8:43:49 AM","Dec 11, 2020 8:44:46 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),58,,"Dec 11, 2020 8:41:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,8.0,B702BFH,uuid:b033c4d2-3fed-4aa2-9015-044510f2237e,2012091737,uuid:b033c4d2-3fed-4aa2-9015-044510f2237e,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:00 PM","Dec 11, 2020 9:12:07 AM","Dec 11, 2020 9:13:13 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),66,,"Dec 11, 2020 8:53:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B123BHP,uuid:9efae78f-daa9-41c9-b9df-4a18939f1e97,2012091737,uuid:9efae78f-daa9-41c9-b9df-4a18939f1e97,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:01 PM","Dec 11, 2020 9:14:37 AM","Dec 11, 2020 9:15:43 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),65,,"Dec 11, 2020 9:00:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,7.0,B362AXJ,uuid:f2cf89d3-7177-4071-8d7e-3d5a5e9e7c2d,2012091737,uuid:f2cf89d3-7177-4071-8d7e-3d5a5e9e7c2d,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:01 PM","Dec 11, 2020 9:19:33 AM","Dec 11, 2020 9:20:57 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),84,,"Dec 11, 2020 9:13:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B840BAI,uuid:28bc9787-9487-404f-89df-198c499aaec2,2012091737,uuid:28bc9787-9487-404f-89df-198c499aaec2,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:02 PM","Dec 11, 2020 9:21:00 AM","Dec 11, 2020 9:22:12 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),72,,"Dec 11, 2020 9:14:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B347AOS,uuid:81bcaf1e-69c4-4722-9936-9d9a8339aab6,2012091737,uuid:81bcaf1e-69c4-4722-9936-9d9a8339aab6,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:02 PM","Dec 11, 2020 9:22:15 AM","Dec 11, 2020 9:23:08 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),54,,"Dec 11, 2020 9:16:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,0.0,B816BAH,uuid:94455a1e-7565-403f-b955-bb4777dd90b7,2012091737,uuid:94455a1e-7565-403f-b955-bb4777dd90b7,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:03 PM","Dec 11, 2020 9:42:18 AM","Dec 11, 2020 9:43:37 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),79,,"Dec 11, 2020 9:41:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,1.0,B380AXU,uuid:782d0483-a397-439f-a2b7-a8b6f1894a48,2012091737,uuid:782d0483-a397-439f-a2b7-a8b6f1894a48,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
"Dec 11, 2020 4:08:03 PM","Dec 11, 2020 11:04:08 AM","Dec 11, 2020 11:05:10 AM",867668043256359,652020109438310.0,8926702091702122555F,26774889285.0,user (not yet authenticated),62,,"Dec 11, 2020 9:56:00 AM",Gaborone Taxi Association,Minibus Taxi,Gaborone bus rank,5,,8.0,B105BIF,uuid:94972596-723d-4a06-8914-6431498d460e,2012091737,uuid:94972596-723d-4a06-8914-6431498d460e,16:15:00,2020-12-11,Friday,11,December,2020,Gaborone,
